,Brand,Operating System,Ram Type,Ram Size,Disk Size,Disk Type,MRP
290,acer,Windows 10,DDR4,16,1000,1,117990
291,DELL,Windows 11,DDR4,8,1000,1,61497
292,HP,Windows 11,DDR4,8,512,1,70399
293,Lenovo,Windows 10,DDR4,16,512,1,68999
294,HP,Windows 11,DDR5,8,512,1,96579
295,DELL,Windows 11,DDR4,16,512,1,101989
296,HP,Windows 11,DDR5,8,512,1,94989
297,DELL,Windows 11,DDR4,8,1000,1,46900
298,HP,Windows 10,DDR4,8,512,1,64589
299,DELL,Windows 10,DDR4,8,512,1,55690
300,Lenovo,Windows 10,DDR4,16,512,1,109990
301,ASUS,Windows 10,DDR4,8,1000,1,79989
302,DELL,Windows 10,DDR4,4,256,1,39889
303,MSI,Windows 10,DDR4,16,1000,1,99990
304,HP,Windows 10,DDR4,16,512,1,66699
305,DELL,Windows 10,DDR4,8,1000,1,68989
306,HP,Windows 11,DDR4,16,512,1,105821
307,Lenovo,Chrome,DDR5,4,128,0,28489
308,Lenovo,Windows 10,DDR4,16,512,1,66989
309,acer,Windows 11,DDR4,8,512,1,86998
310,ASUS,Windows 10,DDR4,8,256,1,36990
311,Lenovo,Windows 11,DDR4,4,256,1,23250
312,DELL,Windows 10,DDR4,8,256,1,42390
313,Lenovo,Windows 10,DDR4,8,512,1,58989
314,acer,Windows 10,DDR4,8,1000,1,74589
315,DELL,Windows 11,DDR4,8,512,1,71990
316,Lenovo,Windows 10,DDR4,16,512,1,84990
317,MSI,Windows 10,DDR4,8,512,1,48789
318,DELL,Windows 11,DDR4,16,512,1,76000
319,Infinix,Windows 11,DDR5,8,512,1,49989
320,ASUS,Windows 11,DDR5,16,512,1,164989
321,HP,Windows 11,DDR4,8,256,1,31489
322,DELL,Windows 11,DDR4,8,512,1,48077
323,ASUS,Windows 10,DDR4,8,512,1,65990
324,Lenovo,Windows 10,DDR4,8,256,1,38979
325,HP,Windows 10,DDR4,8,512,1,68989
326,DELL,Windows 10,DDR4,8,256,1,43089
327,DELL,Windows 11,DDR4,8,512,1,49348
328,DELL,Windows 11,DDR5,16,512,1,221774
329,Lenovo,Windows 10,DDR4,8,512,1,73990
330,DELL,Windows 11,DDR4,16,512,1,77990
331,DELL,Windows 10,DDR4,16,512,1,199990
332,DELL,Windows 11,DDR4,8,512,1,52413
333,ASUS,Chrome,DDR5,4,64,0,25989
334,DELL,Windows 11,DDR4,16,512,1,80614
335,Infinix,Windows 11,DDR5,16,512,1,49989
336,ASUS,Windows 11,DDR5,16,512,1,92990
337,ASUS,Windows 10,DDR5,16,1000,1,151990
338,DELL,Windows 11,DDR5,16,512,1,76590
339,HP,Windows 10,DDR4,16,512,1,89999
340,ASUS,Chrome,DDR5,4,64,0,23490
341,ASUS,Windows 11,DDR5,16,512,1,125990
342,Lenovo,Windows 10,DDR4,8,1000,1,50989
343,MSI,Windows 10,DDR4,16,1000,1,114989
344,ASUS,Windows 10,DDR4,16,1000,1,119989
345,ASUS,Windows 11,DDR4,8,1000,1,70989
346,ASUS,Windows 11,DDR5,16,1000,1,99990
347,ASUS,Windows 10,DDR4,16,1000,1,122990
348,DELL,Windows 11,DDR5,16,1000,1,235282
349,MSI,Windows 10,DDR4,16,1000,1,114989
350,MSI,Windows 10,DDR4,16,1000,1,129990
351,ASUS,Windows 11,DDR4,8,1000,1,59990
352,MSI,Windows 11,DDR5,16,1000,1,200000
353,MSI,Windows 11,DDR5,16,1000,1,190890
354,ASUS,Windows 11,DDR5,32,1000,1,239990
355,ASUS,Windows 10,DDR4,16,1000,1,101489
356,MSI,Windows 11,DDR5,32,1000,1,274989
357,HP,Windows 11,DDR4,16,1000,1,108250
358,MSI,Windows 11,DDR5,32,2000,1,389989
359,MSI,Windows 10,DDR4,8,1000,0,62190
360,DELL,Windows 11,DDR5,16,1000,1,206581
361,HP,Windows 11,DDR5,32,1000,1,199990
362,ASUS,Windows 10,DDR4,8,1000,1,75989
363,MSI,Windows 11,DDR4,16,1000,1,125990
364,MSI,Windows 11,DDR5,32,2000,1,314989
365,DELL,Windows 11,DDR5,16,1000,1,116489
366,DELL,Windows 11,DDR5,16,1000,1,137990
367,MSI,Windows 11,DDR4,16,1000,1,139990
368,DELL,Windows 11,DDR4,32,1000,1,434830
369,DELL,Windows 10,DDR4,32,1000,1,345390
370,MSI,Windows 10,DDR4,32,1000,1,214990
371,ASUS,Windows 10,DDR4,32,1000,1,224989
372,DELL,Windows 10,DDR4,16,1000,1,214790
373,Lenovo,Windows 11,DDR4,16,1000,1,157989
374,ASUS,Windows 11,DDR5,16,1000,1,196989
375,ASUS,Windows 11,DDR4,16,1000,1,150989
376,ASUS,Windows 10,DDR4,8,1000,1,94989
377,MSI,Windows 11,DDR4,16,1000,1,109990
378,DELL,Windows 11,DDR4,8,1000,0,33099
379,APPLE,Mac,Unified,16,1000,1,241990
380,APPLE,Mac,Unified,32,1000,1,309489
381,APPLE,Mac,Unified,16,1000,1,222990
382,ASUS,Windows 10,DDR4,8,1000,0,37990
383,ASUS,Windows 10,DDR5,16,1000,1,94989
384,ASUS,Windows 11,DDR5,16,1000,1,114989
385,DELL,Windows 10,DDR4,8,1000,0,38989
386,ASUS,Windows 11,DDR5,16,1000,1,109990
387,ASUS,Windows 11,DDR5,16,1000,1,154989
388,ASUS,Windows 11,DDR5,16,1000,1,135990
389,APPLE,Mac,Unified,16,1000,1,241990
390,ASUS,Windows 10,DDR4,8,1000,0,83990
391,APPLE,Mac,DDR4,8,1000,1,149989
392,HP,Windows 11,DDR4,16,1000,1,118989
393,ASUS,Windows 11,DDR5,16,1000,1,140989
